id,label,birth_date,defining_rfcs,description,source
ACAP,ACAP,1997-11-01,RFC2244,ACAP,RFC Editor (rfc-index.xml)
ACMAINT-DBD,ACMAINT-DBD,1990-03-01,"RFC1060,RFC1340,RFC1700","IANA assigned this well-formed service name as a replacement for ""acmaint_dbd"".",RFC Editor (rfc-index.xml)
ACMAINT-TRANSD,ACMAINT-TRANSD,1990-03-01,"RFC1060,RFC1340,RFC1700","IANA assigned this well-formed service name as a replacement for ""acmaint_transd"".",RFC Editor (rfc-index.xml)
AGENTX,AGENTX,1998-01-01,"RFC2257,RFC2741",AgentX,RFC Editor (rfc-index.xml)
AODV,AODV,2003-07-01,RFC3561,AODV,RFC Editor (rfc-index.xml)
APEX-EDGE,APEX-EDGE,2002-07-01,RFC3340,APEX endpoint-relay service,RFC Editor (rfc-index.xml)
AURP,AURP,1993-08-01,RFC1504,Appletalk Update-Based Routing Pro.,RFC Editor (rfc-index.xml)
BDP,BDP,1999-09-01,RFC2701,Bundle Discovery Protocol,RFC Editor (rfc-index.xml)
BFTP,BFTP,1988-08-01,RFC1068,Background File Transfer Program,RFC Editor (rfc-index.xml)
BGMP,BGMP,2004-09-01,RFC3913,BGMP,RFC Editor (rfc-index.xml)
BGP,BGP,2022-06-01,RFC9260,BGP,RFC Editor (rfc-index.xml)
BOOTPS,BOOTPS,1985-09-01,RFC951,Bootstrap Protocol Server,RFC Editor (rfc-index.xml)
CSO,CSO,1998-09-01,RFC2378,CCSO name server protocol,RFC Editor (rfc-index.xml)
CVC-HOSTD,CVC-HOSTD,1994-10-01,RFC1700,"cvc_hostd
IANA assigned this well-formed service name as a replacement for ""cvc_hostd"".",RFC Editor (rfc-index.xml)
CYBERCASH,CYBERCASH,1996-02-01,RFC1898,cybercash,RFC Editor (rfc-index.xml)
DAYTIME,DAYTIME,1983-05-01,RFC867,Daytime,RFC Editor (rfc-index.xml)
DHCP-FAILOVER,DHCP-FAILOVER,2017-06-01,RFC8156,DHCP Failover,RFC Editor (rfc-index.xml)
DHCPV6-CLIENT,DHCPV6-CLIENT,2026-01-01,RFC9915,DHCPv6 Client,RFC Editor (rfc-index.xml)
DHCPV6-SERVER,DHCPV6-SERVER,2009-02-01,"RFC5460,RFC9915",DHCPv6 Server,RFC Editor (rfc-index.xml)
DISCARD,DISCARD,2006-03-01,"RFC4340,RFC9260",Discard,RFC Editor (rfc-index.xml)
DIXIE,DIXIE,1991-08-01,RFC1249,DIXIE Protocol Specification,RFC Editor (rfc-index.xml)
DLEP,DLEP,2017-06-01,RFC8175,Dynamic Link Exchange Protocol (DLEP),RFC Editor (rfc-index.xml)
DOMAIN,DOMAIN,1987-11-01,RFC1035,Domain Name Server,RFC Editor (rfc-index.xml)
