src,dst,kind,source,detail
RFC376,RFC370,updates,RFC376,rfc-index.xml
RFC777,RFC760,updates,RFC777,rfc-index.xml
RFC904,RFC888,updates,RFC904,rfc-index.xml
RFC904,RFC827,updates,RFC904,rfc-index.xml
RFC950,RFC792,updates,RFC950,rfc-index.xml
RFC973,RFC883,updates,RFC973,rfc-index.xml
RFC997,RFC990,updates,RFC997,rfc-index.xml
RFC1101,RFC1034,updates,RFC1101,rfc-index.xml
RFC1122,RFC793,updates,RFC1122,rfc-index.xml
RFC1123,RFC952,updates,RFC1123,rfc-index.xml
RFC1123,RFC822,updates,RFC1123,rfc-index.xml
RFC1138,RFC822,updates,RFC1138,rfc-index.xml
RFC1148,RFC822,updates,RFC1148,rfc-index.xml
RFC1151,RFC908,updates,RFC1151,rfc-index.xml
RFC1183,RFC1034,updates,RFC1183,rfc-index.xml
RFC1327,RFC822,updates,RFC1327,rfc-index.xml
RFC1348,RFC1034,updates,RFC1348,rfc-index.xml
RFC1349,RFC1122,updates,RFC1349,rfc-index.xml
RFC1349,RFC1123,updates,RFC1349,rfc-index.xml
RFC1349,RFC1060,updates,RFC1349,rfc-index.xml
RFC1349,RFC791,updates,RFC1349,rfc-index.xml
RFC1513,RFC1271,updates,RFC1513,rfc-index.xml
RFC1644,RFC1379,updates,RFC1644,rfc-index.xml
RFC1876,RFC1034,updates,RFC1876,rfc-index.xml
RFC1982,RFC1034,updates,RFC1982,rfc-index.xml
RFC2011,RFC1213,updates,RFC2011,rfc-index.xml
RFC2012,RFC1213,updates,RFC2012,rfc-index.xml
RFC2013,RFC1213,updates,RFC2013,rfc-index.xml
RFC2065,RFC1034,updates,RFC2065,rfc-index.xml
RFC2156,RFC822,updates,RFC2156,rfc-index.xml
RFC2181,RFC1123,updates,RFC2181,rfc-index.xml
RFC2181,RFC1034,updates,RFC2181,rfc-index.xml
RFC2228,RFC959,updates,RFC2228,rfc-index.xml
RFC2236,RFC1112,updates,RFC2236,rfc-index.xml
RFC2290,RFC2002,updates,RFC2290,rfc-index.xml
RFC2308,RFC1034,updates,RFC2308,rfc-index.xml
RFC2474,RFC791,updates,RFC2474,rfc-index.xml
RFC2535,RFC1034,updates,RFC2535,rfc-index.xml
RFC2640,RFC959,updates,RFC2640,rfc-index.xml
RFC2750,RFC2205,updates,RFC2750,rfc-index.xml
RFC2773,RFC959,updates,RFC2773,rfc-index.xml
RFC2890,RFC2784,updates,RFC2890,rfc-index.xml
RFC3128,RFC1858,updates,RFC3128,rfc-index.xml
