id,label,birth_date,defining_rfcs,source
3PC,3PC,2023-11-01,"RFC9481,RFC9523",RFC Editor (rfc-index.xml)
AGGFRAG,AGGFRAG,2023-01-01,RFC9347,RFC Editor (rfc-index.xml)
AH,AH,1987-05-01,"RFC1005,RFC4302",RFC Editor (rfc-index.xml)
AX-25,AX-25,1991-05-01,RFC1226,RFC Editor (rfc-index.xml)
BBN-RCC-MON,BBN-RCC-MON,1987-11-01,"RFC1028,RFC1076,RFC1147,RFC1271,RFC1333,RFC1470,RFC1513,RFC1565,RFC1566,RFC1567",RFC Editor (rfc-index.xml)
BIT-EMU,BIT-EMU,2025-07-01,RFC9801,RFC Editor (rfc-index.xml)
BR-SAT-MON,BR-SAT-MON,1990-04-01,"RFC1147,RFC1271,RFC1470",RFC Editor (rfc-index.xml)
CBT,CBT,1997-09-01,RFC2189,RFC Editor (rfc-index.xml)
COMPAQ-PEER,COMPAQ-PEER,2023-11-01,RFC9481,RFC Editor (rfc-index.xml)
CRUDP,CRUDP,2011-09-01,RFC6282,RFC Editor (rfc-index.xml)
DCCP,DCCP,2006-03-01,"RFC4340,RFC4342",RFC Editor (rfc-index.xml)
DCN-MEAS,DCN-MEAS,1997-01-01,"RFC2063,RFC2064,RFC2123,RFC2720,RFC2722",RFC Editor (rfc-index.xml)
DDP,DDP,1989-11-01,"RFC1134,RFC1171,RFC4296,RFC5042",RFC Editor (rfc-index.xml)
DGP,DGP,1987-06-01,"RFC1009,RFC1254",RFC Editor (rfc-index.xml)
DSR,DSR,2005-05-01,"RFC3927,RFC4728",RFC Editor (rfc-index.xml)
EGP,EGP,1984-01-01,RFC888,RFC Editor (rfc-index.xml)
EIGRP,EIGRP,2016-05-01,RFC7868,RFC Editor (rfc-index.xml)
ENCAP,ENCAP,1991-07-01,RFC1241,RFC Editor (rfc-index.xml)
ESP,ESP,2004-01-01,"RFC3686,RFC4303",RFC Editor (rfc-index.xml)
ETHERIP,ETHERIP,2002-09-01,RFC3378,RFC Editor (rfc-index.xml)
ETHERNET,IP proto 143 · Ethernet payload in IPv6 (RFC8986 / SRv6),2021-02-01,RFC8986,RFC Editor (rfc-index.xml)
FC,FC,2011-03-01,RFC6172,RFC Editor (rfc-index.xml)
GGP,GGP,1982-09-01,RFC823,RFC Editor (rfc-index.xml)
GRE,GRE,1994-10-01,"RFC1702,RFC2784,RFC3147,RFC4023,RFC5845",RFC Editor (rfc-index.xml)
HIP,HIP,2008-04-01,"RFC5201,RFC7401",RFC Editor (rfc-index.xml)
HMP,HMP,1983-12-01,"RFC869,RFC1028,RFC1076,RFC1147,RFC1271,RFC1470,RFC1513,RFC1566,RFC1567",RFC Editor (rfc-index.xml)
I-NLSP,I-NLSP,1991-07-01,"RFC1244,RFC6698,RFC7919",RFC Editor (rfc-index.xml)
ICMP,ICMP,1981-09-01,RFC792,RFC Editor (rfc-index.xml)
IDPR,IDPR,1993-06-01,"RFC1478,RFC1479,RFC1519,RFC4632",RFC Editor (rfc-index.xml)
IDPR-CMTP,IDPR-CMTP,1987-03-01,"RFC1002,RFC1008,RFC1301,RFC6698,RFC7919,RFC9548",RFC Editor (rfc-index.xml)
IDRP,IDRP,2010-02-01,RFC5773,RFC Editor (rfc-index.xml)
IFMP,IFMP,1996-05-01,"RFC1953,RFC8532,RFC9481",RFC Editor (rfc-index.xml)
IGMP,IGMP,1989-08-01,"RFC1112,RFC2236",RFC Editor (rfc-index.xml)
