Service Name,Port Number,Transport Protocol,Description,Datatracker title query,Assignee,IANA Reference,IANA RFC numbers (parsed),Datatracker RFC numbers,Datatracker RFC titles,Datatracker hits (JSON)
IANA-UNNAMED-TCP-0-B9AB1A9E,0,tcp,Reserved,,,[RFC6335],RFC6335,,,[]
IANA-UNNAMED-UDP-0-80DA3660,0,udp,Reserved,,,[RFC6335],RFC6335,,,[]
tcpmux,1,tcp,TCP Port Service Multiplexer,TCP Port Service Multiplexer,[Mark_Lottor],,,RFC1078,TCP port service Multiplexer (TCPMUX),"[{""rfc_number"": 1078, ""title"": ""TCP port service Multiplexer (TCPMUX)"", ""name"": ""rfc1078""}]"
tcpmux,1,udp,TCP Port Service Multiplexer,TCP Port Service Multiplexer,[Mark_Lottor],,,RFC1078,TCP port service Multiplexer (TCPMUX),"[{""rfc_number"": 1078, ""title"": ""TCP port service Multiplexer (TCPMUX)"", ""name"": ""rfc1078""}]"
rje,5,tcp,Remote Job Entry,Remote Job Entry,[Jon_Postel],,,RFC360,Proposed Remote Job Entry Protocol,"[{""rfc_number"": 360, ""title"": ""Proposed Remote Job Entry Protocol"", ""name"": ""rfc360""}]"
rje,5,udp,Remote Job Entry,Remote Job Entry,[Jon_Postel],,,RFC360,Proposed Remote Job Entry Protocol,"[{""rfc_number"": 360, ""title"": ""Proposed Remote Job Entry Protocol"", ""name"": ""rfc360""}]"
discard,9,sctp,Discard,Discard,[Randall_Stewart],[RFC9260],RFC9260,,,[]
discard,9,dccp,Discard,Discard,[Eddie_Kohler],[RFC4340],RFC4340,,,[]
daytime,13,tcp,Daytime,Daytime,[Jon_Postel],[RFC867],RFC867,,,[]
daytime,13,udp,Daytime,Daytime,[Jon_Postel],[RFC867],RFC867,,,[]
qotd,17,tcp,Quote of the Day,Quote of the Day,[Jon_Postel],,,RFC865,Quote of the Day Protocol,"[{""rfc_number"": 865, ""title"": ""Quote of the Day Protocol"", ""name"": ""rfc865""}]"
qotd,17,udp,Quote of the Day,Quote of the Day,[Jon_Postel],,,RFC865,Quote of the Day Protocol,"[{""rfc_number"": 865, ""title"": ""Quote of the Day Protocol"", ""name"": ""rfc865""}]"
ftp-data,20,sctp,FTP,File Transfer [Default Data],[Randall_Stewart],[RFC9260],RFC9260,,,[]
ftp,21,tcp,File Transfer Protocol [Control],File Transfer Protocol [Control],[Jon_Postel],[RFC959],RFC959,,,[]
